ticker,company_name,industry,fiscal_year,cik,source_url,downloaded_at_utc,assets_usd,liabilities_usd,current_assets_usd,current_liabilities_usd,operating_cashflow_usd,revenue_usd,net_income_usd,equity_usd
META,"Meta Platforms, Inc.",Technology,2023,0001326801,https://data.sec.gov/api/xbrl/companyfacts/CIK0001326801.json,2026-08-03T14:50:39+00:00,229623000000.0,76455000000.0,85365000000.0,31960000000.0,71113000000.0,134902000000.0,39098000000.0,153168000000.0
META,"Meta Platforms, Inc.",Technology,2024,0001326801,https://data.sec.gov/api/xbrl/companyfacts/CIK0001326801.json,2026-08-03T14:50:39+00:00,276054000000.0,93417000000.0,100045000000.0,33596000000.0,91328000000.0,164501000000.0,62360000000.0,182637000000.0
MSFT,MICROSOFT CORPORATION,Technology,2021,0000789019,https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json,2026-08-03T14:50:39+00:00,333779000000.0,191791000000.0,184406000000.0,88657000000.0,76740000000.0,168088000000.0,61271000000.0,141988000000.0
MSFT,MICROSOFT CORPORATION,Technology,2022,0000789019,https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json,2026-08-03T14:50:39+00:00,364840000000.0,198298000000.0,169684000000.0,95082000000.0,89035000000.0,198270000000.0,72738000000.0,166542000000.0
MSFT,MICROSOFT CORPORATION,Technology,2023,0000789019,https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json,2026-08-03T14:50:39+00:00,411976000000.0,205753000000.0,184257000000.0,104149000000.0,87582000000.0,211915000000.0,72361000000.0,206223000000.0
MSFT,MICROSOFT CORPORATION,Technology,2024,0000789019,https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json,2026-08-03T14:50:39+00:00,512163000000.0,243686000000.0,159734000000.0,125286000000.0,118548000000.0,245122000000.0,88136000000.0,268477000000.0
NVDA,NVIDIA CORP,Technology,2021,0001045810,https://data.sec.gov/api/xbrl/companyfacts/CIK0001045810.json,2026-08-03T14:50:39+00:00,28791000000.0,11898000000.0,16055000000.0,3925000000.0,5822000000.0,16675000000.0,4332000000.0,16893000000.0
NVDA,NVIDIA CORP,Technology,2022,0001045810,https://data.sec.gov/api/xbrl/companyfacts/CIK0001045810.json,2026-08-03T14:50:39+00:00,44187000000.0,17575000000.0,28829000000.0,4335000000.0,9108000000.0,26914000000.0,9752000000.0,26612000000.0
NVDA,NVIDIA CORP,Technology,2023,0001045810,https://data.sec.gov/api/xbrl/companyfacts/CIK0001045810.json,2026-08-03T14:50:39+00:00,41182000000.0,19081000000.0,23073000000.0,6563000000.0,5641000000.0,26974000000.0,4368000000.0,22101000000.0
NVDA,NVIDIA CORP,Technology,2024,0001045810,https://data.sec.gov/api/xbrl/companyfacts/CIK0001045810.json,2026-08-03T14:50:39+00:00,65728000000.0,22750000000.0,44345000000.0,10631000000.0,28090000000.0,60922000000.0,29760000000.0,42978000000.0
PEP,"PepsiCo, Inc.",Consumer,2021,0000077476,https://data.sec.gov/api/xbrl/companyfacts/CIK0000077476.json,2026-08-03T14:50:39+00:00,92377000000.0,76226000000.0,21783000000.0,26220000000.0,11616000000.0,79474000000.0,7618000000.0,16043000000.0
PEP,"PepsiCo, Inc.",Consumer,2022,0000077476,https://data.sec.gov/api/xbrl/companyfacts/CIK0000077476.json,2026-08-03T14:50:39+00:00,92187000000.0,74914000000.0,21539000000.0,26785000000.0,10811000000.0,86392000000.0,8910000000.0,17149000000.0
PEP,"PepsiCo, Inc.",Consumer,2023,0000077476,https://data.sec.gov/api/xbrl/companyfacts/CIK0000077476.json,2026-08-03T14:50:39+00:00,100495000000.0,81858000000.0,26950000000.0,31647000000.0,13442000000.0,91471000000.0,9074000000.0,18503000000.0
PEP,"PepsiCo, Inc.",Consumer,2024,0000077476,https://data.sec.gov/api/xbrl/companyfacts/CIK0000077476.json,2026-08-03T14:50:39+00:00,99467000000.0,81296000000.0,25826000000.0,31536000000.0,12507000000.0,91854000000.0,9578000000.0,18041000000.0
PG,PROCTER & GAMBLE CO,Consumer,2021,0000080424,https://data.sec.gov/api/xbrl/companyfacts/CIK0000080424.json,2026-08-03T14:50:39+00:00,119307000000.0,72653000000.0,23091000000.0,33132000000.0,18371000000.0,76118000000.0,14306000000.0,46654000000.0
PG,PROCTER & GAMBLE CO,Consumer,2022,0000080424,https://data.sec.gov/api/xbrl/companyfacts/CIK0000080424.json,2026-08-03T14:50:39+00:00,117208000000.0,70354000000.0,21653000000.0,33081000000.0,16723000000.0,80187000000.0,14742000000.0,46854000000.0
PG,PROCTER & GAMBLE CO,Consumer,2023,0000080424,https://data.sec.gov/api/xbrl/companyfacts/CIK0000080424.json,2026-08-03T14:50:39+00:00,120829000000.0,73764000000.0,22648000000.0,35756000000.0,16848000000.0,82006000000.0,14653000000.0,47065000000.0
PG,PROCTER & GAMBLE CO,Consumer,2024,0000080424,https://data.sec.gov/api/xbrl/companyfacts/CIK0000080424.json,2026-08-03T14:50:39+00:00,122370000000.0,71811000000.0,24709000000.0,33627000000.0,19846000000.0,84039000000.0,14879000000.0,50559000000.0
